smid,lblid
MKEPI:012356a576e7919dee,ILT001_0002
MKEPI:01230b76560921a0ee,ILT001_0003
MKEPI:0123a974eb1db306ee,ILT001_0011
MKEPI:0123cc1fd8c3c3d4ee,ILT001_0018
MKEPI:0123b8c0c5341449ee,ILT001_0019
MKEPI:01234bf4dad50f6dee,ILT001_0021
MKEPI:0123050fd2f5d4baee,ILT001_0022
MKEPI:01231f24bcc1e013ee,ILT001_0023
MKEPI:01232fec74f04d25ee,ILT001_0024
MKEPI:01232d644fbbc2c9ee,ILT001_0025
MKEPI:0123067bdde117b9ee,ILT001_0026
MKEPI:01237777807f8153ee,ILT001_0027
MKEPI:01238b05bb954978ee,ILT001_0028
MKEPI:01231a79bef4bc59ee,ILT001_0029
MKEPI:01233e16d1061106ee,ILT001_0030
MKEPI:01236120d9fe7152ee,ILT001_0031
MKEPI:01238727fc40b47dee,ILT001_0032
MKEPI:0123f10c4dfb6c6aee,ILT001_0033
MKEPI:012312aa1365604dee,ILT001_0034
MKEPI:0123e55cf5609ab5ee,ILT001_0035
MKEPI:012395b8cac2e57cee,ILT001_0036
MKEPI:01236c71679c2184ee,ILT001_0037
MKEPI:0123ad5ee4865a38ee,ILT001_0038
MKEPI:0123271db6a95ebaee,ILT001_0039
MKEPI:01232b2ed697fb81ee,ILT001_0040
MKEPI:0123f3ce9b80e3c8ee,ILT001_0042
MKEPI:012388072f3e5e76ee,ILT001_0043
MKEPI:0123a32594509c15ee,ILT001_0044
MKEPI:01237e569b2a4894ee,ILT001_0045
MKEPI:0123b9e4e721aae1ee,ILT001_0046
MKEPI:0123b7cf3ebed0ccee,ILT001_0047
MKEPI:0123dfdfd5bc311bee,ILT001_0048
MKEPI:01232290c5f7206dee,ILT001_0049
MKEPI:01237bd9c7fe8101ee,ILT001_0050
MKEPI:01233a4fb1df4a5cee,ILT001_0051
MKEPI:0123e8163a78ef09ee,ILT001_0052
MKEPI:01232df02ec14b9aee,ILT001_0053
MKEPI:0123469e3adba175ee,ILT001_0054
MKEPI:012389cd878036ebee,ILT001_0055
MKEPI:01232d339e425d68ee,ILT001_0056
MKEPI:012359339078ce29ee,ILT001_0057
MKEPI:01238716e8c56844ee,ILT001_0058
MKEPI:0123ccbeace8e9eeee,ILT001_0059
MKEPI:01233fafcebac027ee,ILT001_0060
MKEPI:0123213495907bbeee,ILT001_0061
MKEPI:012319a8a70af125ee,ILT001_0062
MKEPI:0123498e44a29f2cee,ILT001_0063
MKEPI:0123ce06d6894d55ee,ILT001_0064
MKEPI:0123338ae1030a3eee,ILT001_0065
MKEPI:0123cd16bc07db4cee,ILT001_0066
MKEPI:012363c3dc09092fee,ILT001_0067
MKEPI:0123b07b656100e8ee,ILT001_0068
MKEPI:012378619cd5cdccee,ILT001_0069
MKEPI:0123e9306b0f112cee,ILT001_0070
MKEPI:01236f0c4700abe8ee,ILT001_0071
MKEPI:012370ef161b6368ee,ILT001_0072
MKEPI:0123fabca9712c0aee,ILT001_0073
MKEPI:012378b5979d5c20ee,ILT001_0074
MKEPI:0123cefdb7247b31ee,ILT001_0075
MKEPI:01236f8f302fa1b4ee,ILT001_0076
MKEPI:0123326faff322d6ee,ILT001_0077
MKEPI:012348781a14e5acee,ILT001_0078
MKEPI:0123a2d93494e665ee,ILT001_0079
